v0,r0,t0,w_wh,w_m,T_m,T_a,F_trac,F_drag,F_RR,F_net_tan,a_tan0,a_norm0,P_battery,P_battery_OL,P_battery_regen,Capacity,Pack Current,Energy Use,Energy Use OL,SoC Energy,SoC Capacity,Dissipated Power,Battery Temp,Heatsink Temp,Max Values
70.00547394,9622.04892,641.7,85.06546362,3411.724433,55.91224528,234.8314302,1027.2591,162.791661,26.16566709,838.3017714,3.142950779,0,0,0,-23.38699307,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63262133,70.0970056,0
71.13693622,9624.009231,641.8,86.44033272,3466.866371,55.05394326,231.2265617,1011.489771,168.0964213,26.16566709,817.2276828,3.063940063,0,0,0,-23.34194807,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63202612,70.10570712,0
72.23995464,9626.000577,641.9,87.78063896,3520.622095,54.22159423,227.7306958,996.1972693,173.3496956,26.16566709,796.6819066,2.986910089,0,0,0,-23.19781407,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63143135,70.11440193,0
73.31524227,9628.022177,642,89.0872488,3573.026355,53.41403857,224.338962,981.3602887,178.5487041,26.16566709,776.6459176,2.911791404,0,47.52624822,23.15416502,0,7.037963528,142.3151589,3.503091901,3.398517476,99.33136893,39.76250581,22.50400495,82.63083703,70.12309002,0
74.36348718,9630.073271,642.1,90.36099832,3624.112685,52.63018476,221.046776,966.9587751,183.6909029,26.16566709,757.1022051,2.838518355,0,47.51742426,23.14282536,0,7.034010329,142.2914319,3.504411829,3.399160332,99.331117,39.74017135,22.49650176,82.65749044,70.1317714,0
75.38535379,9632.153116,642.2,91.60269489,3673.913466,51.97639364,218.3008533,954.9468648,188.7739698,26.16566709,740.0072279,2.774426075,0,47.58946064,23.13345277,0,7.030057789,142.4851091,3.505733759,3.399802928,99.33086468,39.71784062,22.55778479,82.68413391,70.14046562,0
76.38414717,9634.261025,642.3,92.81635459,3722.589771,0,-1815.997352,-7943.995415,193.8093042,26.16566709,-8163.970386,-30.60825822,14.83024691,0,23.12824255,0,7.02609987,0,3.505733759,3.400445379,99.33086468,39.69547949,0,82.71085073,70.14917265,0
65.36517421,9636.229766,642.4,79.4269153,3185.578918,9.148972187,38.42568318,168.0913525,141.9256854,26.16566709,0,0,14.83024691,7.707180983,23.12437821,0,7.02609987,25.45407113,3.505947847,3.401087723,99.33082382,39.69547949,0.719899708,82.71025429,70.15789254,0
65.36517421,9638.045465,642.5,79.4269153,3185.578918,9.148972187,38.42568318,168.0913525,141.9256854,26.16566709,0,0,14.83024691,7.707180983,23.14372223,0,7.025392812,25.45407113,3.506161935,3.401730604,99.33078296,39.69148481,0.719899708,82.71052992,70.1666057,0
65.36517421,9639.861164,642.6,79.4269153,3185.578918,9.148972187,38.42568318,168.0913525,141.9256854,26.16566709,0,0,14.83024691,7.707180983,23.1920861,0,7.024685755,25.45407113,3.506376024,3.402374829,99.33074209,39.68749014,0.719899708,82.71080595,70.17531275,0
