Section Length,Cumulative Length,Radius
8.89,7777.28,7.09
9.5,7786.78,7.92
7.5,7794.28,8.7
10.67,7804.95,36.5
31.55,7836.5,0
5.2,7841.7,3.71
31.33,7873.03,14.33
7.22,7880.25,0
4,7884.25,6.58
5.99,7890.24,20.92
29.12,7919.36,0
4.91,7924.27,8.51
10,7934.27,8.13
9.8,7944.07,8.49
9.09,7953.16,7.79
5.22,7958.38,0
9.72,7968.1,8.45
8.69,7976.79,0
12.37,7989.16,10.03
7.28,7996.44,0
12.91,8009.35,8.2
3.65,8013,0
9.96,8022.96,6.86
9.92,8032.88,9.39
9.94,8042.82,0
15.32,8058.14,13.24
8.08,8066.22,0
14.53,8080.75,13.3
10.52,8091.27,0
12.98,8104.25,15.07
11.78,8116.03,0
10,8126.03,23.56
63.85,8189.88,0
18.74,8208.62,31.72
26.59,8235.21,21.5
18.13,8253.34,0
25.64,8278.98,22.09
20.28,8299.26,0
18.34,8317.6,22.23
14.41,8332.01,20.43
10.71,8342.72,11.57
11.77,8354.49,15.09
29.13,8383.62,20.63
10.25,8393.87,10.21
78.13,8472,0
10.04,8482.04,7.44
16.01,8498.05,11.78
16.68,8514.73,0
7.21,8521.94,9.13
6.61,8528.55,4.05
6.68,8535.23,0
14.26,8549.49,12.32
7.29,8556.78,3.92
9.05,8565.83,29.42
20.96,8586.79,0
32.25,8619.04,33.4
22.99,8642.03,17.72
17.05,8659.08,15.49
12.19,8671.27,5.52
95.71,8766.98,0
4.28,8771.26,6.38
8.89,8780.15,7.09
9.5,8789.65,7.92
7.5,8797.15,8.7
10.67,8807.82,36.5
31.55,8839.37,0
5.2,8844.57,3.71
31.33,8875.9,14.33
7.22,8883.12,0
4,8887.12,6.58
5.99,8893.11,20.92
29.12,8922.23,0
4.91,8927.14,8.51
10,8937.14,8.13
9.8,8946.94,8.49
9.09,8956.03,7.79
5.22,8961.25,0
9.72,8970.97,8.45
8.69,8979.66,0
12.37,8992.03,10.03
7.28,8999.31,0
12.91,9012.22,8.2
3.65,9015.87,0
9.96,9025.83,6.86
9.92,9035.75,9.39
9.94,9045.69,0
15.32,9061.01,13.24
8.08,9069.09,0
14.53,9083.62,13.3
10.52,9094.14,0
12.98,9107.12,15.07
11.78,9118.9,0
10,9128.9,23.56
63.85,9192.75,0
18.74,9211.49,31.72
26.59,9238.08,21.5
18.13,9256.21,0
25.64,9281.85,22.09
20.28,9302.13,0
18.34,9320.47,22.23
14.41,9334.88,20.43
10.71,9345.59,11.57
11.77,9357.36,15.09
29.13,9386.49,20.63
10.25,9396.74,10.21
78.13,9474.87,0
10.04,9484.91,7.44
16.01,9500.92,11.78
16.68,9517.6,0
7.21,9524.81,9.13
6.61,9531.42,4.05
6.68,9538.1,0
14.26,9552.36,12.32
7.29,9559.65,3.92
9.05,9568.7,29.42
20.96,9589.66,0
32.25,9621.91,33.4
22.99,9644.9,17.72
17.05,9661.95,15.49
12.19,9674.14,5.52
95.71,9769.85,0
4.28,9774.13,6.38
8.89,9783.02,7.09
9.5,9792.52,7.92
7.5,9800.02,8.7
10.67,9810.69,36.5
31.55,9842.24,0
5.2,9847.44,3.71
31.33,9878.77,14.33
7.22,9885.99,0
4,9889.99,6.58
5.99,9895.98,20.92
29.12,9925.1,0
4.91,9930.01,8.51
10,9940.01,8.13
9.8,9949.81,8.49
9.09,9958.9,7.79
5.22,9964.12,0
9.72,9973.84,8.45
8.69,9982.53,0
12.37,9994.9,10.03
7.28,10002.18,0
12.91,10015.09,8.2
3.65,10018.74,0
9.96,10028.7,6.86
9.92,10038.62,9.39
9.94,10048.56,0
15.32,10063.88,13.24
8.08,10071.96,0
14.53,10086.49,13.3
10.52,10097.01,0
12.98,10109.99,15.07
11.78,10121.77,0
10,10131.77,23.56
