elapsedDistance,brakePosition,engineSpeed,torque
Length,Percentage,Speed (angular),Torque
m,%,rpm,N.m
167,0,3673.230741,100
167.25,0,3675.986604,100
167.5,0,3678.737469,100
167.75,0,3681.48335,100
168,0,3684.224263,100
168.25,0,3686.96022,100
168.5,0,3689.691237,100
168.75,0,3692.417327,100
169,0,3695.138504,100
169.25,0,3697.854782,100
169.5,0,3700.566176,100
169.75,0,3703.272698,100
170,0,3705.974364,100
170.25,0,3708.671185,100
170.5,0,3711.363177,100
170.75,0,3714.050352,100
171,0,3716.732724,100
171.25,0,3719.410307,100
171.5,0,3722.083113,100
171.75,0,3724.751157,100
172,0,3727.414452,100
172.25,0,3730.07301,100
172.5,0,3732.726845,100
172.75,0,3735.37597,100
173,0,3738.020398,100
173.25,0,3740.660142,100
173.5,0,3743.295215,100
173.75,0,3745.92563,100
174,0,3748.551399,100
174.25,0,3751.172536,100
174.5,0,3753.789052,100
174.75,0,3756.400961,100
175,0,3759.008276,100
175.25,100,3756.046561,100
175.5,100,3743.590123,100
175.75,27.2066639,3731.105413,100
176,28.14433583,3725.964787,100
176.25,29.0641043,3720.727639,100
176.5,29.96720233,3715.395469,100
176.75,30.85470915,3709.969651,100
177,31.72757553,3704.451448,100
177.25,32.58664392,3698.842026,100
177.5,33.4326647,3693.142463,100
177.75,34.26630944,3687.35376,100
178,35.08818189,3681.476844,100
178.25,35.89882694,3675.512584,100
178.5,36.69873822,3669.461785,100
178.75,37.48836448,3663.325204,100
179,38.26811493,3657.103548,100
179.25,39.03836387,3650.797477,100
179.5,39.79945456,3644.407614,100
179.75,40.55170266,3637.934541,100
180,41.29539913,3631.378805,100
180.25,42.03081276,3624.740922,100
180.5,42.75819237,3618.021374,100
180.75,43.47776882,3611.220616,100
181,44.18975663,3604.339076,100
181.25,44.89435555,3597.377156,100
181.5,45.59175187,3590.335234,100
181.75,46.2821196,3583.213664,100
182,46.96562152,3576.01278,100
182.25,47.64241015,3568.732894,100
182.5,48.31262858,3561.374299,100
182.75,48.97641122,3553.937269,100
183,49.63388448,3546.422061,100
183.25,50.28516741,3538.828912,100
183.5,50.93037226,3531.158046,100
183.75,51.56960493,3523.409667,100
184,52.2029655,3515.583968,100
184.25,52.83054861,3507.681123,100
184.5,53.45244385,3499.701295,100
184.75,54.06873611,3491.644629,100
185,54.67950589,3483.511261,100
185.25,55.28482961,3475.301311,100
185.5,55.88477985,3467.014885,100
185.75,56.47942563,3458.652078,100
186,57.06883262,3450.212974,100
186.25,57.65306334,3441.697642,100
186.5,58.23217738,3433.10614,100
186.75,58.80623155,3424.438516,100
187,59.37528008,3415.694803,100
187.25,59.93937473,3406.875026,100
187.5,60.49856498,3397.979196,100
187.75,61.05289813,3389.007316,100
188,61.60241943,3379.959374,100
188.25,62.14717221,3370.83535,100
188.5,62.68719797,3361.635213,100
188.75,63.22253647,3352.358919,100
189,63.75322588,3343.006415,100
189.25,64.2793028,3333.577637,100
189.5,64.80080236,3324.07251,100
189.75,65.31775835,3314.490947,100
190,65.8302032,3304.832853,100
190.25,66.33816813,3295.098119,100
190.5,66.84168316,3285.286628,100
190.75,67.34077722,3275.39825,100
191,67.83547814,3265.432846,100
191.25,68.32581277,3255.390264,100
191.5,68.81180698,3245.270341,100
191.75,69.29348573,3235.072904,100
192,69.77087314,3224.797769,100
192.25,70.24399246,3214.444738,100
192.5,70.71286618,3204.013605,100
192.75,71.17751604,3193.504148,100
193,71.63796307,3182.916138,100
193.25,72.09422759,3172.24933,100
193.5,72.54632932,3161.503468,100
193.75,72.99428732,3150.678285,100
194,73.43812009,3139.773499,100
194.25,1.49E-06,3128.788816,100
194.5,0,3126.639735,100
194.75,0,3124.490653,100
195,0,3122.657949,100
195.25,0,3120.939974,100
195.5,0,3119.30711,100
195.75,0,3117.743943,100
196,0,3116.240604,100
196.25,0,3114.790079,100
196.5,0,3113.387054,100
196.75,0,3112.027322,100
197,0,3110.70745,100
197.25,0,3109.424563,100
197.5,0,3108.176215,100
197.75,0,3106.960287,100
198,0,3105.774924,100
198.25,0,3104.618481,100
198.5,0,3103.489493,100
198.75,0,3102.386638,100
199,0,3101.30872,100
199.25,0,3100.254647,100
199.5,0,3099.223421,100
199.75,0,3098.214121,100
200,0,3097.225899,100
200.25,0,3096.257965,100
200.5,0,3095.309586,100
200.75,0,3094.380077,100
201,0,3093.468797,100
201.25,0,3092.575144,100
201.5,0,3091.698551,100
201.75,0,3090.838485,100
202,0,3089.994441,100
202.25,0,3089.165941,100
202.5,0,3088.352533,100
