elapsedDistance,engineSpeed,torque,brakePosition
Length,Speed (angular),Torque,Ratio
m,rpm,N.m,%
116.5,2987.443641,64.09301403,0
116.75,2991.645722,63.96148891,0
117,2995.837431,63.8302884,0
117.25,3000.018818,63.69969891,0
117.5,3004.189931,63.63296111,0
117.75,3008.350816,63.56638695,0
118,3012.501521,63.49997567,0
118.25,3016.642093,63.43372652,0
118.5,3020.772578,63.36763875,0
118.75,3024.893023,63.30171164,0
119,3029.003472,63.23594444,0
119.25,3033.103973,63.17033643,0
119.5,3037.194569,63.1048869,0
119.75,3041.275305,63.03959512,0
120,3045.346226,62.97446038,0
120.25,3049.407376,62.90948199,0
120.5,3053.458798,62.84465923,0
120.75,3057.500536,62.77999143,0
121,3061.532632,62.71547788,0
121.25,3065.55513,62.65111791,0
121.5,3069.568072,62.58691084,0
121.75,3073.5715,62.522856,0
122,3077.565456,62.45895271,0
122.25,3081.54998,62.39520032,0
122.5,3085.525115,62.33159816,0
122.75,3089.490901,62.26814558,0
123,3093.447379,62.20484194,0
123.25,3097.394588,62.14168659,0
123.5,3101.332569,62.07867889,0
123.75,3105.261362,62.01581821,0
124,3109.181006,61.95310391,0
124.25,3113.091539,61.89053537,0
124.5,3116.993002,61.82811197,0
124.75,3120.885431,61.7658331,0
125,3124.768866,61.70369814,0
125.25,3128.643345,61.64170649,0
125.5,3132.508904,61.57985753,0
125.75,3136.365582,61.51815068,0
126,3140.213417,61.45658534,0
126.25,3144.052443,61.39516091,0
126.5,3147.882699,61.33387681,0
126.75,3151.704221,61.27273246,0
127,3155.517045,61.21172729,0
127.25,3159.321206,61.1508607,0
127.5,3163.116741,61.09013215,0
127.75,3166.903684,61.02954105,0
128,3170.682072,60.96908685,0
128.25,3174.451938,60.90876899,0
128.5,3178.213318,60.84858692,0
128.75,3181.966245,60.78854008,0
129,3185.710755,60.72862792,0
129.25,3189.446881,60.66884991,0
129.5,3193.174656,60.6092055,0
129.75,3196.894115,60.54969416,0
130,3200.605291,60.49031535,0
130.25,3204.308216,60.43106855,0
130.5,3208.002923,60.37195323,0
130.75,3211.689446,60.31296887,0
131,3215.367816,60.25411495,0
131.25,3219.038065,60.19539096,0
131.5,3222.700226,60.13679638,0
131.75,3226.354331,60.0783307,0
132,3230.00041,60.01999343,0
132.25,3233.638496,59.96178406,0
132.5,3237.268619,59.90370209,0
132.75,3240.89081,59.84574703,0
133,3244.505101,59.78791839,0
133.25,3248.111521,59.73021567,0
133.5,3251.7101,59.67263839,0
133.75,3255.30087,59.61518608,0
134,3258.88386,59.55785824,0
134.25,3262.459099,59.50065441,0
134.5,3266.026618,59.44357411,0
134.75,3269.586445,59.38661688,0
135,3273.13861,59.32978223,0
135.25,3276.683142,59.27306972,0
135.5,3280.22007,59.21647888,0
135.75,3283.749422,59.16000925,0
136,3287.271226,59.10366038,0
136.25,3290.785512,59.04743181,0
136.5,3294.292306,58.9913231,0
136.75,3297.791638,58.93533379,0
137,3301.283534,58.87946345,0
137.25,3304.768023,58.82371163,0
137.5,3308.245131,58.7680779,0
137.75,3311.714887,58.71256181,0
138,3315.177316,58.65716294,0
138.25,3318.632446,58.60188086,0
138.5,3322.080305,58.54671513,0
